id,crid,is_officer_complaint,disciplined,gender,race,rank,current_salary,allegation_count,discipline_count,honorable_mention_count,major_award_count,civilian_compliment_count
660,288356,true,true,M,Black,Police Officer as Detective,72810,10,2,0,0,0
663,274056,true,true,M,Black,Police Officer,69264,21,6,0,0,0
664,280835,true,true,F,Black,Police Officer,61512,3,2,0,0,0
665,291972,true,true,M,Hispanic,Police Officer as Detective,97440,6,1,4,0,5
735,293315,true,true,M,White,Sergeant of Police,96072,10,2,9,0,3
736,1051397,true,true,M,Black,Police Officer,90024,20,1,12,0,1
740,1067941,true,true,F,Black,Police Officer as Detective,99978,15,3,0,0,2
750,302717,true,true,M,Black,Police Officer,92430,29,2,49,0,3
752,1052214,true,true,M,White,Police Officer,87006,5,1,42,0,0
783,1067494,true,true,M,Hispanic,Police Officer,61530,1,1,2,0,1
797,1086608,true,true,M,Hispanic,Police Officer,80016,15,2,12,0,0
800,1051363,true,true,M,Asian/Pacific,Police Officer,90024,29,1,77,0,4
805,306370,true,true,M,Hispanic,Police Officer,90024,13,1,24,0,1
818,272754,true,true,F,Hispanic,Sergeant of Police,111474,8,1,2,1,2
819,301824,true,true,F,Hispanic,Police Officer,87006,10,1,19,0,1
821,1000928,true,true,M,Hispanic,Police Officer,83604,12,1,2,0,0
825,260482,true,true,M,Hispanic,Police Officer,78006,11,3,1,0,0
871,1003563,true,true,M,Hispanic,Police Officer,90024,23,1,119,1,2
882,1060361,true,true,F,Hispanic,Police Officer,90024,16,1,24,1,6
886,271314,true,true,M,Hispanic,Lieutenant of Police,125190,5,1,6,0,4
887,297143,true,true,M,Hispanic,Sergeant of Police,104628,19,2,155,1,5
888,1011067,true,true,M,Black,Police Officer,93354,8,2,15,1,2
889,292742,true,true,M,Black,Police Officer,80724,35,5,0,0,1
901,315160,true,true,F,Black,Police Officer as Detective,94122,6,1,2,0,6
902,265326,true,true,M,Black,Police Officer,93354,24,3,10,0,1
908,277960,true,true,F,Black,Police Officer,85278,13,4,0,0,0
910,271365,true,true,M,Black,Police Officer,96060,63,9,10,1,2
911,1006110,true,true,M,Black,Police Officer,93354,9,2,2,0,8
923,288831,true,true,M,Hispanic,Police Officer,69264,13,6,1,0,0
933,310820,true,true,M,Black,Police Officer,90024,49,6,123,0,2
958,287945,true,true,F,White,Police Officer,89718,8,1,12,0,4
965,297869,true,true,M,White,Police Officer,93354,21,2,1,0,4
974,276049,true,true,M,Black,Police Officer,,6,5,9,1,3
983,1068769,true,true,M,Hispanic,Police Officer,95106,22,3,22,0,8
984,1022801,true,true,M,Hispanic,Police Officer,87006,18,5,23,1,5
985,276049,true,true,M,Hispanic,Police Officer,83706,54,14,30,0,0
994,276870,true,true,M,White,Sergeant of Police,97440,31,1,80,1,6
996,265638,true,true,F,White,Police Officer as Detective,99978,1,1,5,0,1
1007,1072924,true,true,M,White,Lieutenant of Police,104628,15,1,42,0,1
1012,267075,true,true,M,Hispanic,Sergeant of Police,99960,27,4,2,0,0
1018,305359,true,true,M,White,Sergeant of Police,87006,25,1,151,1,3
1032,284618,true,true,M,White,Police Officer,69270,4,1,3,0,4
1048,1061247,true,true,M,Black,Police Officer,96060,31,2,6,1,5
1049,1000936,true,true,M,Hispanic,Police Officer,90024,12,3,16,0,1
1056,283766,true,true,M,Hispanic,Police Officer / Field Training Officer,96060,83,11,51,1,4
1062,259127,true,true,F,Black,Police Officer,96060,9,3,1,0,0
1070,1063429,true,true,F,Hispanic,Police Officer,87006,3,2,28,0,4
1079,1083018,true,true,M,Black,Police Officer,96060,12,3,10,1,1
1084,296898,true,true,M,Black,Police Officer,95106,21,2,14,0,5
1091,1006919,true,true,M,Black,Police Officer,93354,46,3,20,0,1
1092,298647,true,true,M,Black,Police Officer,81252,7,1,3,1,4
1097,1073260,true,true,M,White,Lieutenant of Police,125190,21,2,8,0,6
1111,279626,true,true,M,Black,Police Officer Assign Youth Off,70260,14,1,0,0,1
1123,1066236,true,true,M,Hispanic,Police Officer,61530,1,1,5,0,0
1141,1014459,true,true,M,White,Police Officer / Field Training Officer,90024,19,2,10,0,11
1152,303195,true,true,M,Hispanic,Police Officer,61566,3,2,3,0,0
1160,308516,true,true,M,White,Police Officer,83706,9,1,2,0,3
1196,282547,true,true,F,Black,Police Officer,79926,16,6,1,0,0
1210,259216,true,true,M,White,Police Officer,69264,15,3,4,0,0
1218,279803,true,true,M,White,Sergeant of Police,,17,5,6,0,3
1219,1004532,true,true,M,White,Sergeant of Police,107988,34,5,20,0,14
1235,282556,true,true,M,Black,Police Officer,90618,7,2,14,0,1
1240,298434,true,true,M,Black,Police Officer,75816,31,5,3,0,0
1241,299306,true,true,M,Black,Police Officer,96060,9,2,10,0,1
1260,1002968,true,true,M,White,Police Officer Assigned as Helicopter Pilot,93588,21,1,39,0,12
1266,1050511,true,true,M,Hispanic,Sergeant of Police,107988,23,1,11,1,4
1270,309376,true,true,F,Asian/Pacific,Police Officer,87006,14,1,25,0,1
1271,299491,true,true,M,White,Police Officer as Detective,97440,18,2,8,0,12
1288,284041,true,true,M,White,Sergeant of Police,107988,39,3,23,0,11
1295,1000378,true,true,M,Black,Police Officer,87006,10,1,20,0,5
