id,crid,is_officer_complaint,disciplined,gender,race,rank,current_salary,allegation_count,discipline_count,honorable_mention_count,major_award_count,civilian_compliment_count
10058,272069,false,true,M,Black,Police Officer,96060,6,2,3,0,1
10063,C266962,false,true,M,White,Police Officer,,11,6,0,0,0
10066,C220419,false,true,F,Black,Police Officer,93354,15,1,5,0,5
10068,C247746,false,true,F,White,Lieutenant of Police,82098,16,4,2,3,4
10072,273671,false,true,M,White,Sergeant of Police,90024,28,1,28,1,5
10081,C199988,false,true,M,Black,Police Officer,,7,3,8,0,0
10087,C247625,false,true,M,Black,Police Officer,96060,16,1,2,0,1
10093,C137403,false,true,M,White,Police Officer,,1,1,5,0,6
10096,C188001,false,true,M,White,Police Officer,86130,15,1,9,0,5
10098,C229529,false,true,M,Black,Police Officer,,9,4,0,0,0
10103,C237130,false,true,M,White,Police Officer as Detective,90540,23,1,4,0,1
10110,C203028,false,true,M,White,Police Officer,,6,2,2,0,1
10113,C191293,false,true,M,Black,Sergeant of Police,99756,19,1,10,0,6
10115,C196215,false,true,M,Black,Sergeant of Police,110370,27,2,8,0,1
10116,284858,false,true,M,Black,Police Officer,89718,29,4,1,0,1
10131,C181148,false,true,M,White,Police Officer as Detective,103932,35,2,11,0,2
10134,C212217,false,true,M,White,Sergeant of Police,101958,14,2,3,0,1
10136,C186789,false,true,M,White,Sergeant of Police,102978,20,1,19,0,1
10138,1044510,false,true,M,White,Sergeant of Police,111474,42,2,17,0,1
10141,C237793,false,true,M,White,Police Officer,,14,6,0,0,0
10142,C231170,false,true,M,White,Police Officer,79926,23,3,10,0,2
10150,C209874,false,true,M,White,Police Officer,,10,1,2,0,0
10153,276058,false,true,M,Black,Police Officer as Detective,,11,3,0,0,0
10154,C184460,false,true,F,Black,Police Officer,96060,14,2,10,0,2
10155,C206246,false,true,M,White,Police Officer,86130,33,3,1,0,1
10158,C191655,false,true,F,Hispanic,Police Officer,81252,24,5,0,0,1
10162,261166,false,true,M,Hispanic,Evidence Tech,94524,22,4,29,0,3
10166,C215835,false,true,M,Hispanic,Police Officer,96060,57,2,25,0,4
10171,C196959,false,true,M,White,Police Officer as Detective,103932,48,2,33,0,5
10175,C209227,false,true,M,White,Police Officer,,7,1,0,1,0
10185,C216070,false,true,M,White,Police Officer,,5,1,2,0,1
10186,C215423,false,true,M,White,Police Officer,,3,1,0,1,0
10187,C236968,false,true,M,White,Police Officer,,13,7,5,0,2
10188,1036341,false,true,M,White,Police Officer,81588,7,1,11,0,2
10191,C198236,false,true,M,White,Police Officer,75816,25,5,2,0,2
10193,C223578,false,true,F,White,Police Officer,74328,9,1,2,0,1
10194,C191508,false,true,M,White,Sergeant of Police,,2,1,2,0,2
10200,C194984,false,true,M,White,Police Officer,93240,8,1,11,0,4
10202,C188029,false,true,M,White,Captain of Police,,8,3,5,0,2
10204,C216853,false,true,M,White,Sergeant of Police,99960,9,3,5,0,6
10207,C256855,false,true,M,White,Police Officer as Detective,,3,1,0,0,1
10208,C186949,false,true,M,White,Police Officer as Detective,54492,34,2,2,0,2
10218,C179559,false,true,M,Black,Sergeant of Police,111474,17,3,16,0,3
10219,C134812,false,true,M,Black,Police Officer,,1,1,4,0,4
10221,C244843,false,true,M,Black,Police Officer,93354,47,3,13,0,6
10223,C181148,false,true,M,White,Police Officer,69264,5,1,9,1,3
10227,C237386,false,true,M,White,Police Officer,,9,2,1,0,0
10231,C191086,false,true,M,White,Police Officer,76476,31,1,3,0,0
10239,C244408,false,true,M,Hispanic,Police Officer as Detective,103932,69,3,19,0,8
10243,277749,false,true,M,Hispanic,Police Officer,,7,2,2,0,2
10248,C269395,false,true,F,Hispanic,Police Officer,87006,4,2,9,0,11
10250,C243091,false,true,M,Hispanic,Police Officer,93354,13,1,18,0,2
10252,C237236,false,true,F,Hispanic,Police Officer,93354,7,1,22,0,2
10259,1023617,false,true,M,Hispanic,Police Officer,93354,40,1,29,0,1
10264,C136523,false,true,M,Hispanic,Police Officer,,1,1,0,0,0
10266,310987,false,true,M,Hispanic,Sergeant of Police,90024,15,1,17,0,1
10267,C224519,false,true,M,Hispanic,Police Officer,,3,1,0,0,0
10287,C207620,false,true,M,Hispanic,Police Officer,,13,3,1,0,0
10290,C237018,false,true,M,Hispanic,Police Officer,96060,9,2,3,1,2
10291,C209138,false,true,M,Hispanic,Police Officer,96060,25,4,4,0,1
10292,C233681,false,true,M,Hispanic,Police Officer,93354,4,1,17,0,3
10295,C225786,false,true,M,Hispanic,Police Officer as Detective,100980,29,3,9,0,2
10300,C196954,false,true,M,Hispanic,Police Officer,96060,10,1,3,0,2
10301,C215310,false,true,M,Hispanic,Police Officer as Detective,,3,2,0,0,0
10314,C209127,false,true,F,Hispanic,Captain of Police,136170,7,1,4,0,4
10315,C241494,false,true,M,Hispanic,Police Officer,80724,12,2,7,0,4
10323,C217896,false,true,F,White,Sergeant of Police,107988,9,2,6,0,5
10328,1025751,false,true,M,Hispanic,Police Officer,93354,12,1,29,0,5
10330,C262151,false,true,M,Hispanic,Sergeant of Police,111474,42,3,8,0,11
10331,C149462,false,true,M,Hispanic,Police Officer,,1,1,3,0,0
10332,314350,false,true,M,Hispanic,Sergeant of Police,104628,24,1,96,0,4
10334,C236925,false,true,M,Hispanic,Police Officer,80724,7,1,5,0,2
10338,C217576,false,true,M,Hispanic,Police Officer,96060,28,3,16,0,1
10340,298954,false,true,M,Hispanic,Police Officer,68262,3,1,1,0,0
10341,C221478,false,true,M,Hispanic,Police Officer,96060,14,2,16,1,2
10351,C185384,false,true,M,Hispanic,Police Officer,85278,50,8,24,0,0
10352,294064,false,true,M,Hispanic,Police Officer,86520,34,4,2,0,11
10363,C192382,false,true,M,Hispanic,Police Officer,96060,13,2,6,0,6
10367,C245864,false,true,M,Hispanic,Police Officer,,25,4,1,0,0
10373,C246712,false,true,M,White,Lieutenant of Police,,17,1,6,0,1
10375,C223926,false,true,M,Black,Police Officer Assigned Security Specialist,,1,1,0,0,0
10379,C250482,false,true,F,Black,Police Officer,93354,12,1,12,1,1
10384,C188987,false,true,M,Black,Police Officer,,2,1,0,0,0
10386,C216312,false,true,M,White,Police Officer,,4,1,0,1,0
10388,C234263,false,true,M,Black,Police Officer,,2,1,1,0,0
10389,C255306,false,true,M,Black,Police Officer,74976,15,6,5,0,6
10398,C209379,false,true,M,Black,Police Officer as Detective,103932,22,4,1,0,4
10399,1042518,false,true,M,Black,Police Officer,90024,36,3,46,0,2
10401,C202028,false,true,F,Black,Police Officer as Detective,84402,7,1,1,0,20
10405,C229617,false,true,F,Black,Police Officer as Detective,,11,3,0,0,0
10414,1005924,false,true,M,White,Police Officer,93354,11,2,8,0,6
10418,C179411,false,true,M,White,Police Officer,,17,3,10,0,0
10421,C217464,false,true,M,Black,Police Officer,,3,2,4,0,4
10424,C203588,false,true,F,Black,Police Officer,,2,1,0,0,0
10428,273336,false,true,F,Black,Police Officer,90024,20,3,21,0,30
10444,1048924,false,true,F,White,Sergeant of Police,106920,20,1,8,1,7
10457,C182480,false,true,M,White,Police Officer,,1,1,0,1,0
10467,C248512,false,true,M,White,Sergeant of Police,,8,1,9,0,3
10468,1075881,false,true,M,White,Police Officer as Detective,91080,6,1,35,0,0
10474,C181713,false,true,M,Black,Police Officer as Detective,99888,9,2,2,0,1
10475,C182520,false,true,M,Black,Police Officer,62742,6,1,0,0,0
10481,C160946,false,true,F,Black,Police Officer,,1,1,0,0,0
10482,C187834,false,true,M,Black,Police Officer,96060,46,4,14,0,4
10492,C208732,false,true,M,White,Police Officer,96060,13,1,15,1,6
10494,C256343,false,true,M,Black,Police Officer,95106,17,5,0,0,5
10496,C239048,false,true,M,White,Police Officer,89130,14,1,16,0,11
10497,291988,false,true,F,Hispanic,Police Officer,66906,5,2,1,0,0
10498,C182480,false,true,M,Black,Police Officer,86130,12,4,4,0,1
10500,C193636,false,true,M,Hispanic,Police Officer,85278,16,1,17,0,2
10501,C186019,false,true,F,Black,Police Officer as Detective,103932,16,5,0,0,2
10503,C185664,false,true,M,Black,Police Officer as Detective,90540,16,1,2,0,1
10515,1009312,false,true,M,White,Police Officer,93354,12,1,9,1,3
