src,dst,relationship
30203,27382,1030262
25620,27503,1030437
27503,25620,1030437
17531,18390,1030757
18390,17531,1030757
17103,19048,1031119
19048,17103,1031119
7195,11634,1031565
7195,32141,1031565
7195,32291,1031565
11634,7195,1031565
11634,32141,1031565
11634,32291,1031565
32141,7195,1031565
32141,11634,1031565
32141,32291,1031565
32291,7195,1031565
32291,11634,1031565
32291,32141,1031565
21856,27386,1031645
27386,21856,1031645
4278,5205,1032601
5205,4278,1032601
54,14979,1032671
54,26802,1032671
54,27802,1032671
54,31756,1032671
14979,54,1032671
14979,26802,1032671
14979,27802,1032671
14979,31756,1032671
26802,54,1032671
26802,14979,1032671
26802,27802,1032671
26802,31756,1032671
27802,54,1032671
27802,14979,1032671
27802,26802,1032671
27802,31756,1032671
31756,54,1032671
31756,14979,1032671
31756,26802,1032671
31756,27802,1032671
8802,16550,1032901
16550,8802,1032901
5706,22877,1033714
5706,28760,1033714
22877,5706,1033714
22877,28760,1033714
28760,5706,1033714
28760,22877,1033714
6673,27237,1035972
27237,6673,1035972
10188,13137,1036341
10188,14339,1036341
13137,10188,1036341
13137,14339,1036341
14339,10188,1036341
14339,13137,1036341
13881,23325,1037175
23325,13881,1037175
14790,29063,1039348
29063,14790,1039348
10930,29230,1039998
29230,10930,1039998
3957,5763,1040116
3957,23441,1040116
3957,28258,1040116
5763,3957,1040116
5763,23441,1040116
5763,28258,1040116
23441,3957,1040116
23441,5763,1040116
23441,28258,1040116
28258,3957,1040116
28258,5763,1040116
28258,23441,1040116
3388,5855,1040551
3388,16941,1040551
3388,27889,1040551
3388,31885,1040551
3388,32307,1040551
5855,3388,1040551
5855,16941,1040551
5855,27889,1040551
5855,31885,1040551
5855,32307,1040551
16941,3388,1040551
16941,5855,1040551
16941,27889,1040551
16941,31885,1040551
16941,32307,1040551
27889,3388,1040551
27889,5855,1040551
27889,16941,1040551
27889,31885,1040551
27889,32307,1040551
31885,3388,1040551
31885,5855,1040551
31885,16941,1040551
31885,27889,1040551
31885,32307,1040551
32307,3388,1040551
32307,5855,1040551
32307,16941,1040551
32307,27889,1040551
32307,31885,1040551
10014,27997,1042663
27997,10014,1042663
6866,19762,1042930
19762,6866,1042930
8640,12109,1043419
12109,8640,1043419
6850,31860,1043958
31860,6850,1043958
32451,32452,1044128
32452,32451,1044128
4792,29395,1044397
29395,4792,1044397
7524,17087,1044475
17087,7524,1044475
3043,27279,1044541
27279,3043,1044541
4841,8138,1044664
4841,27914,1044664
8138,4841,1044664
8138,27914,1044664
27914,4841,1044664
27914,8138,1044664
9634,13800,1045102
13800,9634,1045102
5933,8934,1045628
8934,5933,1045628
26516,30920,1046629
30920,26516,1046629
4615,7998,1047601
7998,4615,1047601
3259,12195,1047739
3259,31305,1047739
12195,3259,1047739
12195,31305,1047739
31305,3259,1047739
31305,12195,1047739
13767,28570,1047984
28570,13767,1047984
80,31912,1048041
31912,80,1048041
326,2996,1048888
326,32194,1048888
2996,326,1048888
2996,32194,1048888
32194,326,1048888
32194,2996,1048888
6090,6990,1048924
6090,10444,1048924
6990,6090,1048924
6990,10444,1048924
10444,6090,1048924
10444,6990,1048924
116,24260,1049995
24260,116,1049995
13263,29521,1050270
29521,13263,1050270
25384,31234,1050613
31234,25384,1050613
7271,7272,1051499
7271,32130,1051499
7272,7271,1051499
7272,32130,1051499
32130,7271,1051499
32130,7272,1051499
26925,32252,1051762
32252,26925,1051762
16881,30037,1051991
30037,16881,1051991
3043,27279,1054393
27279,3043,1054393
5706,14098,1055148
14098,5706,1055148
19834,23775,1055713
23775,19834,1055713
6797,8342,1056150
8342,6797,1056150
2113,16553,1056161
16553,2113,1056161
9086,12630,1056878
12630,9086,1056878
22604,30579,1057362
30579,22604,1057362
13199,24551,1057907
24551,13199,1057907
18996,19549,1058646
19549,18996,1058646
2374,9091,1058745
9091,2374,1058745
11935,12391,1059069
12391,11935,1059069
13805,19511,1059259
19511,13805,1059259
20111,28529,1061308
28529,20111,1061308
7291,19696,1061764
19696,7291,1061764
3956,21447,1061779
21447,3956,1061779
9596,32088,1061883
32088,9596,1061883
3054,3068,1062333
3068,3054,1062333
10162,19601,1063571
19601,10162,1063571
2363,13352,1064089
2363,29414,1064089
13352,2363,1064089
13352,29414,1064089
29414,2363,1064089
29414,13352,1064089
32024,32118,1064569
32118,32024,1064569
5367,6301,1067139
5367,8771,1067139
5367,31831,1067139
6301,5367,1067139
6301,8771,1067139
6301,31831,1067139
8771,5367,1067139
8771,6301,1067139
8771,31831,1067139
31831,5367,1067139
31831,6301,1067139
31831,8771,1067139
1715,9238,1068324
1715,24601,1068324
9238,1715,1068324
9238,24601,1068324
24601,1715,1068324
24601,9238,1068324
4263,6689,1068710
6689,4263,1068710
8304,8902,1068895
8304,27761,1068895
8902,8304,1068895
8902,27761,1068895
27761,8304,1068895
27761,8902,1068895
6264,10930,1068900
10930,6264,1068900
12125,13270,1069362
13270,12125,1069362
8307,9267,1069956
9267,8307,1069956
5439,15006,1070931
15006,5439,1070931
758,6844,1071217
6844,758,1071217
14619,16778,1072246
16778,14619,1072246
352,29546,1073559
29546,352,1073559
4167,9309,1073789
9309,4167,1073789
5763,16299,1074825
16299,5763,1074825
11798,11873,1075158
11873,11798,1075158
22151,29120,1075706
22151,30561,1075706
29120,22151,1075706
29120,30561,1075706
30561,22151,1075706
30561,29120,1075706
17077,25221,1075864
25221,17077,1075864
2403,11352,1076014
2403,16699,1076014
2403,30309,1076014
11352,2403,1076014
11352,16699,1076014
11352,30309,1076014
16699,2403,1076014
16699,11352,1076014
16699,30309,1076014
30309,2403,1076014
30309,11352,1076014
30309,16699,1076014
3955,9574,1076185
9574,3955,1076185
5912,23961,1076880
23961,5912,1076880
14086,28033,1076914
28033,14086,1076914
32039,32176,1077012
32176,32039,1077012
1172,32310,1077092
32310,1172,1077092
15008,29385,1077621
29385,15008,1077621
8882,21663,1077628
21663,8882,1077628
11129,29299,1079748
29299,11129,1079748
4332,24128,1080120
4332,32354,1080120
24128,4332,1080120
24128,32354,1080120
32354,4332,1080120
32354,24128,1080120
1364,18857,1081578
18857,1364,1081578
1136,6861,1081642
6861,1136,1081642
6259,8023,1081757
6259,12049,1081757
8023,6259,1081757
8023,12049,1081757
12049,6259,1081757
12049,8023,1081757
2890,9459,1081854
9459,2890,1081854
12534,18519,1082628
18519,12534,1082628
12529,22068,1084417
22068,12529,1084417
8794,21738,1084553
21738,8794,1084553
19384,26217,1085548
26217,19384,1085548
8690,30571,1085688
30571,8690,1085688
14021,29397,1085853
29397,14021,1085853
6259,12049,1085939
6259,25221,1085939
12049,6259,1085939
12049,25221,1085939
25221,6259,1085939
25221,12049,1085939
8064,23462,1085967
23462,8064,1085967
3491,13997,1086178
13997,3491,1086178
14183,26357,1086367
26357,14183,1086367
11129,20633,1086838
20633,11129,1086838
5828,16437,1087053
16437,5828,1087053
11090,13069,1087079
11090,28056,1087079
13069,11090,1087079
13069,28056,1087079
28056,11090,1087079
28056,13069,1087079
2625,23895,1087135
23895,2625,1087135
3018,22906,1087207
22906,3018,1087207
14556,18850,1087570
18850,14556,1087570
1935,9425,1087945
9425,1935,1087945
8384,8690,1087967
8384,22261,1087967
8384,29373,1087967
8384,31193,1087967
8690,8384,1087967
8690,22261,1087967
8690,29373,1087967
8690,31193,1087967
22261,8384,1087967
22261,8690,1087967
22261,29373,1087967
22261,31193,1087967
29373,8384,1087967
29373,8690,1087967
29373,22261,1087967
29373,31193,1087967
31193,8384,1087967
31193,8690,1087967
31193,22261,1087967
31193,29373,1087967
3044,6681,1088342
6681,3044,1088342
4393,10873,1088359
10873,4393,1088359
15713,29736,1088440
